PERMNO,date,TICKER,DIVAMT,FACPR,PRC,RET,CFACPR,sprtrn
10107,20070702,MSFT,,,29.74000,0.009162,1,0.010696
10107,20070703,MSFT,,,30.02000,0.009415,1,0.003580
10107,20070705,MSFT,,,29.99000,-0.000999,1,0.000348
10107,20070706,MSFT,,,29.97000,-0.000667,1,0.003304
10107,20070709,MSFT,,,29.87000,-0.003337,1,0.000921
10107,20070710,MSFT,,,29.33000,-0.018078,1,-0.014185
10107,20070711,MSFT,,,29.49000,0.005455,1,0.005721
10107,20070712,MSFT,,,30.07000,0.019668,1,0.019055
10107,20070713,MSFT,,,29.82000,-0.008314,1,0.003101
10107,20070716,MSFT,,,30.03000,0.007042,1,-0.001919
10107,20070717,MSFT,,,30.77990,0.024972,1,-0.000097
10107,20070718,MSFT,,,30.92000,0.004552,1,-0.002065
10107,20070719,MSFT,,,31.51000,0.019082,1,0.004469
10107,20070720,MSFT,,,31.16000,-0.011108,1,-0.012221
10107,20070723,MSFT,,,31.19000,0.000963,1,0.004869
10107,20070724,MSFT,,,30.80000,-0.012504,1,-0.019804
10107,20070725,MSFT,,,30.71000,-0.002922,1,0.004666
10107,20070726,MSFT,,,29.98000,-0.023771,1,-0.023339
10107,20070727,MSFT,,,29.39010,-0.019676,1,-0.015992
10107,20070730,MSFT,,,29.40000,0.000337,1,0.010254
10107,20070731,MSFT,,,28.99000,-0.013946,1,-0.012647
10107,20070801,MSFT,,,29.30000,0.010693,1,0.007243
10107,20070802,MSFT,,,29.52000,0.007509,1,0.004359
10107,20070803,MSFT,,,28.96010,-0.018967,1,-0.026586
10107,20070806,MSFT,,,29.54000,0.020024,1,0.024151
10107,20070807,MSFT,,,29.55000,0.000338,1,0.006159
10107,20070808,MSFT,,,30.00000,0.015228,1,0.014072
10107,20070809,MSFT,,,29.30000,-0.023333,1,-0.029650
10107,20070810,MSFT,,,28.71000,-0.020137,1,0.000379
10107,20070813,MSFT,,,28.63000,-0.002786,1,-0.000495
10107,20070814,MSFT,0.10000,0.00000,28.27000,-0.009081,1,-0.018157
10107,20070815,MSFT,,,28.10000,-0.006013,1,-0.013908
10107,20070816,MSFT,,,27.81000,-0.010320,1,0.003249
10107,20070817,MSFT,,,28.25000,0.015822,1,0.024567
10107,20070820,MSFT,,,28.26000,0.000354,1,-0.000270
10107,20070821,MSFT,,,28.07000,-0.006723,1,0.001086
10107,20070822,MSFT,,,28.22000,0.005344,1,0.011713
10107,20070823,MSFT,,,28.30000,0.002835,1,-0.001072
10107,20070824,MSFT,,,28.81000,0.018021,1,0.011535
10107,20070827,MSFT,,,28.49000,-0.011107,1,-0.008504
10107,20070828,MSFT,,,27.93000,-0.019656,1,-0.023473
10107,20070829,MSFT,,,28.59000,0.023630,1,0.021922
10107,20070830,MSFT,,,28.45000,-0.004897,1,-0.004181
10107,20070831,MSFT,,,28.73000,0.009842,1,0.011217
10107,20070904,MSFT,,,28.81000,0.002785,1,0.010468
10107,20070905,MSFT,,,28.48000,-0.011454,1,-0.011501
10107,20070906,MSFT,,,28.91000,0.015098,1,0.004252
10107,20070907,MSFT,,,28.44000,-0.016257,1,-0.016908
10107,20070910,MSFT,,,28.48000,0.001406,1,-0.001273
10107,20070911,MSFT,,,28.93000,0.015801,1,0.013632
10107,20070912,MSFT,,,28.93000,0.000000,1,0.000048
10107,20070913,MSFT,,,29.16000,0.007950,1,0.008420
10107,20070914,MSFT,,,29.04000,-0.004115,1,0.000202
10107,20070917,MSFT,,,28.72500,-0.010847,1,-0.005120
10107,20070918,MSFT,,,28.93000,0.007137,1,0.029208
10107,20070919,MSFT,,,28.67000,-0.008987,1,0.006086
10107,20070920,MSFT,,,28.42010,-0.008716,1,-0.006723
10107,20070921,MSFT,,,28.64990,0.008086,1,0.004609
10107,20070924,MSFT,,,29.08000,0.015012,1,-0.005256
10107,20070925,MSFT,,,29.55990,0.016503,1,-0.000343
10107,20070926,MSFT,,,29.50000,-0.002026,1,0.005411
10107,20070927,MSFT,,,29.49000,-0.000339,1,0.003907
10107,20070928,MSFT,,,29.46000,-0.001017,1,-0.003023
