WAGE,ED,EDSTR,AGE,SEX,FEMALE,NONWH,HISP,HSDROP,HSGRAD,ASSOC,BACH,EXP
9,10,HSDROP,43,MALE,0,0,0,1,0,0,0,32
5.5,12,HSGRAD,38,MALE,0,0,0,0,1,0,0,22
3.8,12,HSGRAD,22,FEMALE,1,0,0,0,1,0,0,6
10.5,12,HSGRAD,47,FEMALE,1,0,0,0,1,0,0,20
15,12,HSGRAD,58,MALE,0,0,0,0,1,0,0,45
9,16,BACH,49,FEMALE,1,0,0,0,0,0,1,28
9.57,12,HSGRAD,23,FEMALE,1,0,0,0,1,0,0,10
15,14,ASSOC,42,MALE,0,0,0,0,0,1,0,26
11,8,HSDROP,56,MALE,0,0,0,1,0,0,0,38
5,12,HSGRAD,32,FEMALE,1,0,0,0,1,0,0,13
24.98,17,BACH,41,MALE,0,0,1,0,0,0,1,22
20.4,17,BACH,26,MALE,0,0,0,0,0,0,1,2
25,14,ASSOC,24,MALE,0,0,1,0,0,1,0,7
13.98,14,ASSOC,34,MALE,0,0,0,0,0,1,0,8
3.5,12,HSGRAD,53,MALE,0,0,0,0,1,0,0,39
5,14,ASSOC,20,MALE,0,0,1,0,0,1,0,0
10,16,BACH,29,MALE,0,0,1,0,0,0,1,6
15,16,BACH,48,MALE,0,1,0,0,0,0,1,25
5.83,13,HSGRAD,22,MALE,0,1,0,0,1,0,0,9
9.1,13,HSGRAD,35,MALE,0,0,1,0,1,0,0,21
11.25,17,BACH,55,FEMALE,1,1,0,0,0,0,1,31
13,12,HSGRAD,43,MALE,0,1,0,0,1,0,0,31
8,14,ASSOC,35,FEMALE,1,0,0,0,0,1,0,13
4.28,12,HSGRAD,56,FEMALE,1,0,0,0,1,0,0,43
7.88,16,BACH,39,MALE,0,1,0,0,0,0,1,20
6.94,12,HSGRAD,25,FEMALE,1,0,0,0,1,0,0,11
24.98,17,BACH,28,FEMALE,1,0,0,0,0,0,1,0
10,14,ASSOC,42,MALE,0,0,0,0,0,1,0,27
13.75,14,ASSOC,41,MALE,0,0,0,0,0,1,0,23
5.62,13,HSGRAD,21,FEMALE,1,0,1,0,1,0,0,0
14.67,14,ASSOC,36,MALE,0,1,0,0,0,1,0,17
24.98,16,BACH,40,MALE,0,0,0,0,0,0,1,21
12,12,HSGRAD,32,MALE,0,0,0,0,1,0,0,19
15,18,BACH,36,MALE,0,0,0,0,0,0,1,15
5.77,16,BACH,25,MALE,0,0,0,0,0,0,1,3
12.65,17,BACH,36,FEMALE,1,0,0,0,0,0,1,12
11.71,16,BACH,64,FEMALE,1,0,0,0,0,0,1,39
13,12,HSGRAD,26,MALE,0,0,0,0,1,0,0,10
12.5,15,ASSOC,27,FEMALE,1,0,0,0,0,1,0,0
22.5,16,BACH,44,MALE,0,0,0,0,0,0,1,22
11.25,16,BACH,25,FEMALE,1,1,0,0,0,0,1,3
15.38,16,BACH,55,MALE,0,0,0,0,0,0,1,37
7.7,13,HSGRAD,27,FEMALE,1,0,0,0,1,0,0,5
11.84,12,HSGRAD,44,MALE,0,0,0,0,1,0,0,31
5,14,ASSOC,20,MALE,0,0,0,0,0,1,0,1
