certify,approve,speccert,wouldyou,recert,subdisc,college,employ,workenv,workact,yearsmem
4,2,5,5,3,BI,P,E,G,C,28
2,2,3,2,1,QP,P,E,I,P,10
2,2,4,5,4,BI,P,E,A,R,15
1,1,2,1,5,CE,M,E,A,C,12
1,1,1,1,2,SP,P,E,I,P,15
5,5,5,3,5,BI,P,E,G,R,7
3,3,3,2,3,BI,M,E,I,R,1
1,1,1,1,1,QP,B,E,I,P,1
5,3,1,3,5,EN,M,E,G,P,12
4,3,0,5,1,BE,P,E,A,E,14
5,2,5,1,5,QP,M,E,I,C,10
4,2,5,1,5,BP,P,E,I,P,13
2,2,5,1,5,BI,P,E,A,R,10
5,5,5,5,5,BA,P,E,A,R,32
2,4,1,2,3,SR,M,E,I,P,5
2,2,2,1,1,BE,M,I,A,S,2
2,4,2,1,5,BI,M,E,A,P,18
2,3,5,4,5,BI,M,I,A,S,2
4,4,2,1,5,BP,M,E,G,R,16
5,5,5,2,5,QP,M,E,I,C,16
5,5,3,5,1,BI,P,E,A,R,6
5,5,5,1,5,SS,P,E,G,P,15
5,5,5,5,0,BA,P,E,A,R,4
1,3,1,1,4,BI,M,E,A,P,6
2,3,3,4,3,BI,P,E,A,R,30
2,3,2,2,2,CM,B,S,I,C,1
1,1,2,1,1,QP,M,E,I,P,11
5,5,5,1,5,BP,M,E,I,P,15
1,1,5,1,2,BP,P,E,I,R,19
2,2,4,5,5,BI,P,E,A,E,35
2,2,4,1,1,SS,P,E,A,R,4
2,2,5,2,5,EN,M,E,I,P,7
5,5,5,5,5,SS,P,E,A,E,14
1,1,1,2,5,BE,P,E,A,E,3
2,1,5,1,5,BP,M,E,I,P,8
2,2,4,2,5,BI,P,E,A,E,8
5,5,4,2,3,SS,M,I,A,S,2
2,2,4,5,2,BE,P,E,I,R,32
5,5,5,5,5,QP,B,E,I,R,2
2,5,1,3,1,EN,P,E,I,C,4
1,1,2,4,2,BE,B,R,I,C,42
5,5,5,5,5,SS,B,E,A,R,18
