"KR.Open","KR.High","KR.Low","KR.Close","KR.Volume","KR.Adjusted"
"2018-01-02",27.935,28.716,27.915,28.299999,11693300,27.89957
"2018-01-03",28.595,28.879,28.087,27.85,10788400,27.455938
"2018-01-04",28.422,28.463,26.921,26.98,12357600,26.598248
"2018-01-05",27.682,27.966,27.276,27.32,9629900,26.933437
"2018-01-08",27.773,28.524,27.712,27.969999,12321700,27.57424
"2018-01-09",28.402,28.564,28.158,27.77,8186200,27.377071
"2018-01-10",27.844,28.453,27.266,27.99,7565500,27.593958
"2018-01-11",28.402,28.513,27.956,28.08,9372300,27.682684
"2018-01-12",28.554,29.183,28.412,28.139999,10081700,27.741833
"2018-01-16",28.757,28.879,28.402,28.25,8208800,27.850277
"2018-01-17",28.828,29.315,28.767,28.67,7564300,28.264334
"2018-01-18",29.173,29.781,29.112,29.059999,10559600,28.648817
"2018-01-19",29.579,30.248,29.335,29.719999,9521500,29.299479
"2018-01-22",30.076,30.147,29.579,29.629999,9716100,29.210752
"2018-01-23",30.045,30.055,29.437,29.309999,10590200,28.895279
"2018-01-24",29.873,30.299,29.568,29.48,12846500,29.062874
"2018-01-25",30.786,30.897,30.136,30.26,16529200,29.831839
"2018-01-26",30.694,31.333,30.481,30.879999,11681000,30.443064
"2018-01-29",31.08,31.861,30.978,31.34,13224300,30.896557
"2018-01-30",31.445,31.901,31.171,30.83,11304000,30.393772
"2018-01-31",31.283,31.536,30.644,30.360001,11507800,29.930424
"2018-02-01",30.644,31.141,30.512,30.209999,5467000,29.782545
"2018-02-02",30.441,30.562,29.731,29.34,7695900,28.924856
"2018-02-05",29.396,29.964,28.655,28.469999,14262000,28.067165
"2018-02-06",28.321,29.639,27.57,29.07,12043300,28.658674
"2018-02-07",29.467,29.883,29.254,28.9,7550500,28.491081
"2018-02-08",29.213,29.315,27.915,27.57,12340300,27.179901
"2018-02-09",28.219,28.442,27.012,27.66,10525000,27.268627
"2018-02-12",28.27,28.28,27.408,27.200001,10827100,26.815136
"2018-02-13",27.56,28.615,27.53,28.120001,7825300,27.722118
"2018-02-14",28.124,28.952,28.043,28.4,8715600,28.123169
"2018-02-15",28.902,29.215,28.609,28.790001,6133500,28.509371
"2018-02-16",28.922,29.366,28.851,28.690001,5985800,28.410343
"2018-02-20",28.084,28.377,27.488,27.49,12438700,27.22204
"2018-02-21",27.942,28.306,27.549,27.41,9845900,27.14282
"2018-02-22",27.912,27.932,27.175,27.219999,10634800,26.954672
"2018-02-23",27.629,27.801,27.448,27.42,5760300,27.152723
"2018-02-26",27.771,28.296,27.67,27.85,7044200,27.578531
"2018-02-27",28.175,28.377,27.538,27.27,6759700,27.004185
"2018-02-28",27.761,27.892,27.387,27.120001,8335900,26.855648
"2018-03-01",27.559,28.124,27.367,27.459999,8548000,27.192333
"2018-03-02",27.508,27.892,27.225,27.35,8605000,27.083406
"2018-03-05",27.559,28.286,27.538,27.99,9747300,27.717167
"2018-03-06",28.154,28.568,28.064,28.01,8670000,27.736973
"2018-03-07",27.942,27.963,26.276,26.23,22122600,25.974321
"2018-03-08",24.741,25.064,23.075,22.98,61491700,22.756001
"2018-03-09",23.327,24.337,23.105,24.08,22793200,23.84528
"2018-03-12",24.014,24.398,23.63,23.99,18464700,23.756157
"2018-03-13",24.267,24.63,24.155,24.01,11049400,23.775963
"2018-03-14",24.226,24.226,23.64,23.440001,13766100,23.211519
"2018-03-15",23.842,24.196,23.741,23.629999,8447300,23.399666
"2018-03-16",23.913,24.176,23.681,23.690001,13578000,23.459082
"2018-03-19",23.812,24.216,23.337,23.16,10450200,22.934246
"2018-03-20",23.529,23.752,23.368,23.41,6614100,23.18181
"2018-03-21",23.61,24.034,23.6,23.450001,6083900,23.22142
