age,education,contact,month,campaign,poutcome,y
80,primary,cellular,feb,1,failure,1
77,tertiary,cellular,oct,1,success,1
77,tertiary,telephone,may,1,success,1
75,tertiary,cellular,0v,1,failure,1
75,secondary,cellular,feb,2,failure,0
73,primary,cellular,oct,1,failure,1
73,primary,cellular,jul,3,success,0
71,tertiary,cellular,oct,2,success,0
71,tertiary,cellular,jan,1,failure,0
70,secondary,cellular,apr,2,failure,0
70,secondary,cellular,apr,2,failure,0
70,tertiary,cellular,apr,3,failure,0
69,tertiary,cellular,jul,1,failure,0
69,tertiary,cellular,jul,1,success,1
66,tertiary,cellular,jan,1,success,1
65,primary,cellular,oct,1,failure,0
65,primary,cellular,jun,2,failure,0
64,primary,cellular,mar,1,success,0
64,primary,cellular,jul,2,success,0
64,tertiary,cellular,feb,1,failure,1
63,secondary,cellular,sep,1,failure,0
63,primary,cellular,oct,1,success,0
62,tertiary,cellular,oct,1,success,1
60,secondary,cellular,may,1,failure,0
60,secondary,cellular,may,1,failure,0
60,secondary,cellular,dec,1,success,1
60,primary,cellular,apr,2,failure,0
59,secondary,cellular,may,2,failure,0
59,tertiary,cellular,jun,5,failure,0
59,secondary,cellular,jun,1,success,1
59,primary,cellular,jan,1,failure,0
59,secondary,cellular,jan,2,failure,0
59,primary,cellular,jan,1,success,1
59,tertiary,cellular,feb,1,failure,0
59,tertiary,cellular,feb,4,success,1
59,tertiary,cellular,dec,1,failure,0
59,secondary,cellular,apr,2,failure,1
58,secondary,cellular,0v,1,success,1
58,secondary,cellular,may,2,failure,0
58,secondary,cellular,may,2,failure,0
58,primary,cellular,feb,3,failure,0
58,secondary,cellular,feb,6,failure,0
58,secondary,cellular,dec,2,success,0
58,primary,cellular,aug,1,failure,1
58,tertiary,cellular,aug,1,failure,0
57,secondary,cellular,0v,4,failure,0
57,primary,cellular,may,1,failure,0
57,primary,cellular,may,2,failure,0
57,secondary,cellular,may,2,failure,0
57,secondary,telephone,jan,1,success,1
57,secondary,cellular,feb,1,failure,0
57,primary,cellular,feb,1,failure,0
57,secondary,cellular,aug,1,failure,0
56,primary,cellular,may,1,failure,0
56,secondary,cellular,may,6,failure,0
56,primary,cellular,jan,2,failure,0
56,secondary,cellular,jan,2,failure,0
56,secondary,cellular,apr,1,failure,0
55,primary,cellular,sep,2,success,1
55,secondary,cellular,sep,2,success,0
55,secondary,cellular,oct,1,failure,0
55,primary,cellular,may,1,failure,0
55,tertiary,telephone,may,2,failure,0
55,secondary,cellular,jun,3,success,1
55,secondary,cellular,jan,3,failure,0
55,primary,cellular,feb,1,failure,0
55,secondary,cellular,feb,1,failure,1
55,secondary,cellular,apr,1,failure,1
55,secondary,cellular,apr,1,failure,0
54,tertiary,cellular,oct,3,success,1
54,secondary,telephone,0v,1,failure,0
54,secondary,cellular,may,1,failure,0
54,secondary,cellular,jan,1,failure,1
54,tertiary,cellular,feb,1,failure,0
54,tertiary,cellular,feb,7,failure,0
54,secondary,telephone,aug,2,success,0
54,secondary,telephone,apr,1,failure,0
54,secondary,cellular,apr,1,failure,0
53,secondary,cellular,oct,6,success,0
53,secondary,cellular,may,1,failure,0
53,secondary,cellular,may,1,failure,0
53,primary,cellular,may,2,failure,0
53,secondary,telephone,mar,1,success,1
53,primary,cellular,jul,3,success,1
53,tertiary,cellular,feb,1,failure,0
53,secondary,cellular,aug,1,failure,1
53,secondary,cellular,aug,1,success,1
53,primary,cellular,apr,1,failure,0
53,tertiary,cellular,apr,1,failure,0
53,secondary,cellular,apr,1,failure,0
52,secondary,cellular,oct,1,failure,1
52,secondary,cellular,0v,1,failure,0
52,secondary,cellular,0v,2,failure,0
52,primary,cellular,may,2,failure,0
52,secondary,telephone,jul,2,failure,1
52,tertiary,cellular,jan,5,success,1
52,secondary,cellular,feb,1,failure,1
52,secondary,cellular,feb,1,failure,0
52,secondary,cellular,aug,1,failure,1
52,tertiary,cellular,aug,3,success,0
52,secondary,cellular,apr,2,failure,0
52,tertiary,cellular,apr,3,failure,0
51,secondary,cellular,may,1,failure,0
51,secondary,cellular,may,1,failure,0
51,primary,cellular,may,1,failure,0
51,primary,cellular,may,1,failure,0
51,secondary,cellular,may,1,failure,0
51,tertiary,cellular,may,2,failure,0
51,primary,cellular,may,2,failure,0
51,tertiary,cellular,may,4,failure,1
51,tertiary,cellular,mar,1,failure,0
51,secondary,cellular,feb,2,failure,0
50,secondary,cellular,0v,1,failure,0
50,tertiary,cellular,0v,1,failure,0
50,secondary,cellular,0v,1,failure,0
50,tertiary,cellular,0v,2,failure,0
50,tertiary,cellular,0v,2,failure,0
50,secondary,cellular,may,1,failure,0
50,tertiary,cellular,may,1,failure,0
50,tertiary,cellular,may,2,failure,0
50,secondary,cellular,may,2,failure,1
50,secondary,cellular,jul,2,failure,0
50,secondary,cellular,jan,2,failure,0
50,tertiary,cellular,feb,2,failure,0
50,tertiary,cellular,apr,1,failure,0
50,secondary,cellular,apr,2,failure,0
50,primary,cellular,apr,2,success,0
50,primary,cellular,apr,4,success,1
49,tertiary,cellular,0v,1,failure,0
49,tertiary,cellular,0v,3,failure,0
49,secondary,cellular,may,1,failure,1
49,tertiary,cellular,may,1,failure,0
49,secondary,cellular,may,7,failure,0
49,secondary,cellular,jan,2,failure,0
49,secondary,cellular,apr,1,failure,1
48,secondary,cellular,sep,2,success,1
48,primary,cellular,0v,1,failure,0
48,secondary,cellular,may,1,failure,1
48,tertiary,telephone,may,2,failure,0
48,secondary,cellular,jan,1,success,1
